name,type,size_mb,rows,owner,active_owner,evidence_source,initial_classification,notes
ab12CD34_wpaicg_promptbase_logs,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_wpaicg_prompttokens,InnoDB,0.02,0,ai-engine,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ai-engine is inactive
ab12CD34_wpforms_logs,InnoDB,0.02,0,wpforms,no,information_schema + plugin list,REVIEW,Plugin wpforms is inactive
ab12CD34_wpforms_tasks_meta,InnoDB,0.02,4,wpforms,no,information_schema + plugin list,REVIEW,Plugin wpforms is inactive
ab12CD34_wpmailsmtp_debug_events,InnoDB,0.02,42,wp-mail-smtp,no,information_schema + plugin list,BLOCKED,Plugin wp-mail-smtp is inactive
ab12CD34_wpmailsmtp_tasks_meta,InnoDB,0.02,3,wp-mail-smtp,no,information_schema + plugin list,BLOCKED,Plugin wp-mail-smtp is inactive
ab12CD34_wt_iew_mapping_template,InnoDB,0.02,0,webtoffee-import-export,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin webtoffee-import-export is inactive
export_wc_seq,InnoDB,0.02,50,custom-export-script,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin custom-export-script is inactive
wp_bv_fw_requests,InnoDB,0.02,4,blogvault,no,information_schema + plugin list,BLOCKED,Plugin blogvault is inactive
wp_bv_lp_requests,InnoDB,0.02,0,blogvault,no,information_schema + plugin list,BLOCKED,Plugin blogvault is inactive
ab12CD34_wfls_role_counts,MEMORY,0.00,0,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
